Country,Year,Population
Viet Nam,2019,97173776.00
Viet Nam,2020,98079191.00
Viet Nam,2021,98935098.00
Viet Nam,2022,99680655.00
Viet Nam,2023,100352192.00
Viet Nam,2024,100352192.00
Yemen,2002,20835086.00
Yemen,2003,21456379.00
Yemen,2004,22095167.00
Yemen,2005,22790085.00
Yemen,2006,23543083.00
Yemen,2007,24318082.00
Yemen,2008,25111941.00
Yemen,2009,25927724.00
Yemen,2010,26754387.00
Yemen,2011,27582897.00
Yemen,2012,28433647.00
Yemen,2013,29312952.00
Yemen,2014,30226309.00
Yemen,2015,31159379.00
Yemen,2016,32109010.00
Yemen,2017,33090921.00
Yemen,2018,34085182.00
Yemen,2019,35111408.00
Yemen,2020,36134863.00
Yemen,2021,37140230.00
Yemen,2022,38222876.00
Yemen,2023,39390799.00
Yemen,2024,39390799.00
